Datum von;Datum bis;Biomasse [MWh] Berechnete Auflösungen;Wasserkraft [MWh] Berechnete Auflösungen;Wind Offshore [MWh] Berechnete Auflösungen;Wind Onshore [MWh] Berechnete Auflösungen;Photovoltaik [MWh] Berechnete Auflösungen;Sonstige Erneuerbare [MWh] Berechnete Auflösungen;Kernenergie [MWh] Berechnete Auflösungen;Braunkohle [MWh] Berechnete Auflösungen;Steinkohle [MWh] Berechnete Auflösungen;Erdgas [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen;Sonstige Konventionelle [MWh] Berechnete Auflösungen
01.01.2023;02.01.2023;100.293,25;29.731,75;108.998,25;566.387,75;42.147,75;2.819,00;59.036,50;97.752,00;49.896,50;35.431,75;18.599,50;29.318,75
02.01.2023;03.01.2023;104.031,25;29.916,25;85.465,25;581.304,00;32.404,25;2.993,00;59.035,75;256.484,25;76.830,50;53.181,25;26.442,00;30.752,75
03.01.2023;04.01.2023;106.262,75;32.115,50;101.895,50;329.554,50;43.750,75;3.434,25;59.058,00;316.322,00;159.465,00;77.043,75;45.942,00;31.248,25
04.01.2023;05.01.2023;105.394,75;31.309,50;124.654,00;962.063,75;12.822,75;2.894,25;58.430,50;121.924,75;125.344,00;52.163,00;24.336,50;24.562,75
05.01.2023;06.01.2023;108.025,25;31.922,25;61.968,75;637.492,50;22.007,50;3.290,50;58.084,25;210.936,75;159.067,75;80.342,75;47.440,50;25.622,25
06.01.2023;07.01.2023;108.791,25;29.615,50;134.245,50;516.810,75;28.575,50;3.515,50;58.026,50;244.328,75;112.201,25;70.047,75;24.946,25;32.210,50
07.01.2023;08.01.2023;108.349,50;28.500,25;140.286,75;445.605,25;44.962,75;3.015,25;57.812,25;171.397,00;55.414,50;50.984,00;23.822,00;30.437,75
08.01.2023;09.01.2023;107.868,25;29.318,00;148.974,25;474.627,25;22.691,25;3.134,25;57.922,25;159.628,75;54.708,75;51.265,00;33.600,00;31.560,75
09.01.2023;10.01.2023;109.332,00;32.982,25;95.994,25;446.041,50;25.121,00;3.209,00;57.592,50;299.406,50;145.708,25;82.391,50;46.312,25;31.917,00
10.01.2023;11.01.2023;108.303,00;35.332,00;94.434,25;510.837,00;28.160,25;3.296,25;57.408,50;337.982,75;165.357,50;85.099,75;32.489,00;31.170,25
11.01.2023;12.01.2023;107.132,75;34.590,25;116.704,75;694.999,75;18.232,50;3.142,50;56.946,00;254.808,25;145.064,00;72.697,00;39.751,50;30.547,75
12.01.2023;13.01.2023;107.286,50;34.752,00;115.519,50;954.111,75;18.134,50;2.933,25;56.438,25;155.098,75;118.406,00;60.672,75;39.354,00;29.998,75
13.01.2023;14.01.2023;107.973,25;35.965,50;102.890,00;935.310,25;34.885,00;2.974,25;55.599,75;115.765,00;110.765,25;75.178,50;41.512,75;28.644,50
14.01.2023;15.01.2023;107.026,00;32.233,00;141.148,25;847.623,25;29.056,50;2.802,75;56.244,00;99.367,00;76.787,75;54.196,50;20.527,75;28.096,50
15.01.2023;16.01.2023;105.340,25;30.120,75;110.560,50;890.098,50;24.156,50;2.848,25;55.959,00;102.250,50;84.399,00;54.677,00;11.276,50;27.679,25
16.01.2023;17.01.2023;109.018,25;32.280,00;80.227,75;607.532,75;49.393,50;3.335,00;55.813,00;267.371,75;181.515,50;107.125,50;40.000,75;27.888,25
17.01.2023;18.01.2023;109.476,50;34.647,50;119.994,50;434.913,25;58.172,50;3.442,50;55.464,00;310.183,25;236.890,50;138.856,25;38.777,50;30.681,25
18.01.2023;19.01.2023;110.477,00;34.857,75;113.173,00;256.158,25;32.823,00;3.633,50;54.976,50;328.897,75;287.041,00;178.867,00;25.077,25;28.362,50
19.01.2023;20.01.2023;109.869,75;36.370,75;102.319,50;414.230,00;35.169,00;3.689,25;61.295,25;309.828,00;296.790,50;183.056,00;25.614,50;31.132,00
